id,compras_exitosas,errores_hora,tiempo_respuesta,peso_producto
1,7,5,0.0801134324421848,546.8276106156195
2,3,4,7.569355945842468,524.4517966824275
3,5,2,0.5550772370288581,500.94065809612545
4,6,5,2.1771895211593257,493.16247545500084
5,8,8,3.6539407060259395,504.9668964382521
6,8,1,1.599952923035993,512.9380024789357
7,8,2,0.33245040221713373,449.1749816082488
8,4,2,2.604762765559322,552.8087427371438
9,6,1,1.833838909455822,480.25289227082703
10,5,3,2.627951784926269,499.95235917528106
11,9,4,2.9371498733338646,500.8716720694787
12,3,1,7.4108607509569575,549.9212554672213
13,5,7,1.704582587156467,497.7969039748326
14,7,6,0.8360101498043558,539.7126823588408
15,7,2,2.0908894779211513,510.16818673652784
16,7,2,0.14179088025243025,475.95287844485125
17,7,1,4.553782418741062,503.3676867025701
18,6,0,0.25426044514091534,497.03728195712716
19,6,4,0.7945261872182059,472.89823787739425
20,7,3,3.3828733539966342,508.943069236806
21,6,4,1.8191882998802513,500.5525687462464
22,8,5,1.0005480440500165,513.9105426364636
23,7,1,1.282763500917089,504.8338194899579
24,7,1,3.8558099438128934,483.72242757464824
25,6,2,0.8310441790580774,519.2083498072578
26,5,6,4.075059441187644,484.39004299366053
27,7,3,0.18452540431865655,422.5082369304182
28,6,3,2.9993600934920934,503.21632369885543
29,6,2,3.761806159250693,486.14815681915024
30,8,6,0.4013400978604373,509.55326260991586
31,6,1,1.1254541091223675,549.9717933984929
32,7,3,0.3618445317094126,550.6934923287015
33,8,1,2.4524649725810823,495.871926944454
34,3,2,1.5329320830147914,479.3371207188486
35,3,4,2.0174883988342467,514.6170820479481
36,5,5,0.43752374719074555,490.74436020334116
37,7,8,0.47586946206738917,509.79441305867357
38,8,2,0.0847658524266528,483.4784809443286
39,5,2,0.7774152108726404,506.2673104005688
40,6,4,1.640800810473627,479.7006461926631
41,8,0,3.9029399485212806,529.6063354007866
42,6,4,2.198789874467311,485.2505577311847
43,9,3,1.1432625026334031,516.5275633933742
44,4,6,6.1203331477286955,468.380817920362
45,7,2,2.5405471809986166,519.5293464152672
46,5,2,5.323245734224551,475.84039826829496
47,7,3,1.4998074724053108,506.5294201743627
48,6,6,0.5992509564292686,525.5800243336996
49,6,0,0.10854637839706188,495.0004275360805
50,7,4,2.5898737950044683,474.2708272313517
51,3,4,0.25863029670177057,512.420312678398
52,5,3,0.7212945844751538,478.9754650253363
53,4,4,1.5205874061283877,489.89386002006927
54,4,4,1.6621379379017116,506.63656648739317
